Latitude,Longitude
49.2710708,-123.2619338
39.4930299,-91.3192615
-38.3655565,143.0280377
-32.8927778,151.69
-19.4811495,147.1341587
-38.037071,143.5589141
-37.2327195,149.9302941
-33.9207398,138.5051851
-26.5658945,152.9596114
51.5432402,-0.0493621
-35.3441667,150.2230556
52.0356772,1.109641
53.3806626,-1.4702278
-27.272959,152.9401453
-35.485283,148.7761701
-27.9076975,152.3734981
-34.3294985,149.3659183
-35.6708333,149.9852778
51.9140964,-8.4701085
-27.2585089,153.103077
-24.879385,151.2147854
-17.8255897,143.4711462
-40.748488,172.6809563
-41.0329257,145.0834318
-37.7807553,144.935503
-33.349336,115.6316545
-34.1506884,151.0584627
-31.8415256,115.7564401
-38.2131354,144.1913071
-31.8644444,152.2991667
-12.4297422,130.8488702
53.3589378,-6.3307105
-34.6509549,150.1640032
-31.92128,115.804
-32.0717661,115.7544513
-41.3294376,146.1291914
-37.8452062,144.957105
-36.8803165,143.5983171
-28.722361,151.5581581
-37.639423,145.1921491
-28.6983333,153.3677778
40.4086776,-82.0507014
52.2502775,-7.1781134
-38.1852795,146.5880083
33.4118948,-117.147616
-33.2066667,151.5427778
51.4926121,-0.1290435
-25.6170015,151.8915574
42.9850635,-93.1881341
-37.3216965,147.3325579
-34.808832,142.5729158
-35.1244827,147.3325101
50.1757546,3.2346145
40.1025463,-89.9631693
-32.0673135,115.9977304
-31.9379538,115.7927879
-20.926899,149.0540418
54.0410801,-6.1865063
34.0166781,-117.980065
39.0145791,-77.0546702
-33.2649829,149.1010936
-34.9982762,146.8137136
-19.3502845,146.8036047
-35.3349123,138.547073
53.588246,-113.4192314
50.0399203,2.72562
51.5457996,-0.1027127
-33.215,149.2511111
-34.8414787,138.8203308
-17.9294555,145.7177928
-37.0557936,143.9222802
-34.0174647,149.3291196
-33.6048099,151.2988042
-21.3604965,149.154675
-31.4072745,150.4269943
-30.2485,152.7346
-33.9021718,151.1859881
46.8127482,-64.0649989
43.6467673,-79.858421
50.8553888,0.5824703
-25.7288015,152.5987296
-34.9066222,138.5699532
-42.7393441,147.5332238
51.9382459,-9.9068889
-30.6101761,148.9697847
-38.4190327,145.0752586
-21.045828,149.1739137
-33.0205285,137.9993185
-27.874387,152.7718277
-41.0814015,145.9038672
-32.322082,117.3870388
-27.5619845,152.9087907
-32.065,152.4344444
-33.7705067,151.249675
-41.2131307,146.2768064
-27.497961,152.5035551
-32.3323113,148.7601237
-33.2688748,135.9430343
43.3732565,-116.5304946
-34.9015549,145.6751061
-32.1356457,116.2490499
-34.400779,150.8803636
-28.4953902,153.3299267
-34.94217,137.3495887
50.2144406,3.9615305
35.7745652,-81.3628349
-34.3399208,137.9303326
-36.5125615,146.7805094
-23.042895,150.6287851
-35.131507,139.3109574
-27.5959638,151.9319469
-34.4848426,116.6715167
-36.669208,143.777154
-33.8535065,121.8732712
-37.6092565,145.6180903
-29.9566568,151.2122145
-32.1624089,116.0212439
-34.6377829,150.8532335
-17.4748285,146.0351908
-34.9687579,139.2939438
-34.934232,138.705189
-26.0840525,27.8776255
40.1136831,-80.2997849
44.6111046,-87.8631552
-33.928717,151.0522591
-28.215314,151.1675613
-33.8975316,151.1024641
-23.7026405,150.7457924
-37.8678412,145.3568039
-27.0307,152.355448
38.8218215,-88.784118
-36.5782422,140.3382235
37.8662319,-80.4097972
-37.60353,143.8729042
-33.5177778,151.3094444
-26.6998495,153.1013488
32.201002,-87.7569365
33.7219991,-116.0372472
52.3704941,-0.4269704
-30.5944383,116.7723858
-29.9157031,149.791325
46.173849,-95.915609
-33.265,151.3983333
37.3886303,-5.9953403
38.4375391,-108.2403855
42.5,-8.5
-24.9756005,151.9521614
-33.8377166,151.2806032
-23.3499735,150.4617187
-21.214217,149.1596513
43.020118,-123.293121
-33.9971908,148.4020893
55.7551369,-4.6854587
-26.3082525,152.3444815
-34.8680494,139.4689948
-33.1482925,134.3631728
25.7126013,-80.2569947
-33.644499,115.3488754
-28.665,153.2177778
-38.2694995,147.314902
-36.768813,143.556552
-12.507182,130.9725805
51.2356068,-0.5732063
-32.3566667,148.9594444
34.8150907,-92.2243153
-36.7559063,144.2668733
32.4059605,-99.4936912
-33.1547735,138.1158917
-37.287625,143.7802916
-21.2746895,148.9029866
-28.9525335,114.8530255
-37.8897731,145.2496342
-34.86667,139.61667
-21.1583655,149.0631482
-25.9137135,151.2830356
54.2994832,-6.5474328
-37.8306664,144.8713429
-27.4648425,151.9725393
-31.8865179,150.9667635
-34.5659957,146.0002828
-34.7523871,149.7198009
36.7413624,-88.6352595
-27.568535,151.89301
-36.4485,148.2346
-26.0033035,151.0358432
-34.7694997,146.921602
-30.9683773,135.750209
-31.0013,149.9985
-35.3633679,149.0988944
-31.4983333,145.8344444
-32.4806606,150.4787495
-37.6626777,144.5914403
-29.8208333,151.0452778
-26.8148724,152.7639801
53.5648207,-113.55842
36.7150606,-93.2035144
-31.5522261,152.8543702
-31.3818,152.7512
-38.1577683,145.2624214
38.3789764,-75.0688005
-31.7232582,149.3063334
44.8016255,-68.7713289
52.8427652,0.4318137
34.1139993,-83.4315488
-38.3970895,146.2263632
38.91706,-77.00025
56.0576004,-3.5674876
-32.6854423,148.9480521
41.8778084,-87.9028398
-32.1755506,152.4982615
-28.3500895,114.7302865
-34.46346,150.9014827
-37.906927,141.3941803
-20.761375,116.8782985
